name,app_price,play_price,total_app_price,avg_app_rating,app_genre,play_genre,app_trader_purchase_price,avg_app_rating_rounded,expected_app_lifespan_years
"Muscle Premium - Human Anatomy, Kinesiology, Bones",19.99,$24.99 ,$44.98 ,4.35,Medical,Medical,"$449,800.00 ",4.5,10
AnatomyMapp,9.99,$14.99 ,$24.98 ,3.8,Medical,Medical,"$249,800.00 ",4,9
FINAL FANTASY V,14.99,$7.99 ,$22.98 ,4.5,Games,Role Playing,"$229,800.00 ",4.5,10
XCOM®: Enemy Within,9.99,$9.99 ,$19.98 ,4.1,Games,Strategy,"$199,800.00 ",4,9
Baldur's Gate: Enhanced Edition,9.99,$9.99 ,$19.98 ,4.25,Games,Role Playing,"$199,800.00 ",4.5,10
My Movies Pro - Movie & TV Collection Library,7.99,$7.99 ,$15.98 ,4.55,Catalogs,Lifestyle,"$159,800.00 ",4.5,10
The EO Bar,6.99,$6.99 ,$13.98 ,4.85,Health & Fitness,Health & Fitness,"$139,800.00 ",5,11
Grand Theft Auto: San Andreas,6.99,$6.99 ,$13.98 ,4.2,Games,Action,"$139,800.00 ",4,9
RollerCoaster Tycoon® Classic,5.99,$5.99 ,$11.98 ,4.3,Games,Simulation,"$119,800.00 ",4.5,10
Battleheart Legacy,4.99,$4.99 ,$9.98 ,4.55,Games,Role Playing,"$99,800.00 ",4.5,10
Don't Starve: Shipwrecked,4.99,$4.99 ,$9.98 ,3.8,Games,Adventure,"$99,800.00 ",4,9
"Please, Don't Touch Anything",4.99,$4.99 ,$9.98 ,4.2,Games,Puzzle,"$99,800.00 ",4,9
F-Sim Space Shuttle,4.99,$4.99 ,$9.98 ,4.45,Games,Simulation,"$99,800.00 ",4.5,10
LEGO Batman: DC Super Heroes,4.99,$4.99 ,$9.98 ,4.1,Games,Adventure;Action & Adventure,"$99,800.00 ",4,9
Paprika Recipe Manager,4.99,$4.99 ,$9.98 ,4.3,Food & Drink,Food & Drink,"$99,800.00 ",4.5,10
NBA JAM by EA SPORTS™,4.99,$4.99 ,$9.98 ,4.15,Games,Sports;Action & Adventure,"$99,800.00 ",4,9
I am Bread,4.99,$4.99 ,$9.98 ,3.75,Games,Adventure,"$99,800.00 ",4,9
LEGO® Friends,4.99,$4.99 ,$9.98 ,4.2,Games,Casual;Pretend Play,"$99,800.00 ",4,9
Don't Starve: Pocket Edition,4.99,$4.99 ,$9.98 ,4.2,Games,Adventure,"$99,800.00 ",4,9
Dr. Panda & Toto's Treehouse,3.99,$3.99 ,$7.98 ,4.45,Entertainment,Casual;Pretend Play,"$79,800.00 ",4.5,10
Farming Simulator 16,4.99,$2.99 ,$7.98 ,4.35,Games,Simulation;Education,"$79,800.00 ",4.5,10
Retro City Rampage DX,4.99,$2.99 ,$7.98 ,4.6,Games,Action,"$79,800.00 ",4.5,10
Puffin Browser Pro,3.99,$3.99 ,$7.98 ,3.75,Utilities,Communication,"$79,800.00 ",4,9
Toca Life: City,2.99,$3.99 ,$6.98 ,4.6,Education,Education;Pretend Play,"$69,800.00 ",4.5,10
Sago Mini Babies,2.99,$3.99 ,$6.98 ,4.25,Education,Education;Pretend Play,"$69,800.00 ",4.5,10
Assassin's Creed Identity,4.99,$1.99 ,$6.98 ,3.85,Games,Action,"$69,800.00 ",4,9
Toca Builders,2.99,$3.99 ,$6.98 ,4.35,Education,Education;Creativity,"$69,800.00 ",4.5,10
My Talking Pet,1.99,$4.99 ,$6.98 ,4.55,Entertainment,Entertainment,"$69,800.00 ",4.5,10
Bloons TD 5,2.99,$2.99 ,$5.98 ,4.55,Games,Strategy,"$59,800.00 ",4.5,10
Dr. Panda Farm,2.99,$2.99 ,$5.98 ,4.05,Education,Education;Pretend Play,"$59,800.00 ",4,9
Tsuro - The Game of the Path,2.99,$2.99 ,$5.98 ,4.6,Games,Board;Brain Games,"$59,800.00 ",4.5,10
Dr. Panda Hospital,2.99,$2.99 ,$5.98 ,4.2,Education,Education;Pretend Play,"$59,800.00 ",4,9
Riptide GP: Renegade,2.99,$2.99 ,$5.98 ,4.6,Games,Racing,"$59,800.00 ",4.5,10
Hitman GO,4.99,$0.99 ,$5.98 ,4.55,Games,Puzzle,"$59,800.00 ",4.5,10
Threema,2.99,$2.99 ,$5.98 ,4.5,Social Networking,Communication,"$59,800.00 ",4.5,10
"Alizay, pirate girl",2.99,$2.99 ,$5.98 ,4.5,Book,Casual;Action & Adventure,"$59,800.00 ",4.5,10
DRAGON QUEST,2.99,$2.99 ,$5.98 ,4.35,Games,Role Playing,"$59,800.00 ",4.5,10
Dr. Panda Supermarket,2.99,$2.99 ,$5.98 ,4.1,Education,Educational;Pretend Play,"$59,800.00 ",4,9
Pocket Yoga,2.99,$2.99 ,$5.98 ,4.45,Health & Fitness,Health & Fitness,"$59,800.00 ",4.5,10
Five Nights at Freddy's 3,2.99,$2.99 ,$5.98 ,4.6,Games,Action,"$59,800.00 ",4.5,10
The Game of Life,2.99,$2.99 ,$5.98 ,4.45,Games,Board,"$59,800.00 ",4.5,10
Five Nights at Freddy's,2.99,$2.99 ,$5.98 ,4.55,Games,Action,"$59,800.00 ",4.5,10
Five Nights at Freddy's 2,2.99,$2.99 ,$5.98 ,4.55,Games,Strategy,"$59,800.00 ",4.5,10
Alto's Adventure,4.99,$0.00 ,$4.99 ,4.55,Games,Action,"$49,900.00 ",4.5,10
Out There Chronicles - Ep. 1,1.99,$2.99 ,$4.98 ,4.2,Games,Role Playing,"$49,800.00 ",4,9
Where's My Water?,1.99,$1.99 ,$3.98 ,4.6,Games,Puzzle;Brain Games,"$39,800.00 ",4.5,10
AJ Jump: Animal Jam Kangaroos!,1.99,$1.99 ,$3.98 ,4.45,Games,Arcade,"$39,800.00 ",4.5,10
Peppa Pig: Party Time,0.99,$2.99 ,$3.98 ,2.9,Education,Educational;Pretend Play,"$39,800.00 ",3,7
H*nest Meditation,1.99,$1.99 ,$3.98 ,4.7,Entertainment,Lifestyle,"$39,800.00 ",4.5,10
True Skate,1.99,$1.99 ,$3.98 ,4.2,Games,Sports,"$39,800.00 ",4,9
Vikings: an Archer's Journey,2.99,$0.00 ,$2.99 ,4.5,Games,Action,"$29,900.00 ",4.5,10
Storm Shield,2.99,$0.00 ,$2.99 ,4,Weather,Weather,"$29,900.00 ",4,9
Toca Kitchen 2,2.99,$0.00 ,$2.99 ,4.5,Education,Educational;Pretend Play,"$29,900.00 ",4.5,10
Fruit Ninja Classic,1.99,$0.99 ,$2.98 ,4.4,Games,Arcade,"$29,800.00 ",4.5,10
"sugar, sugar",0.99,$1.20 ,$2.19 ,4.35,Games,Puzzle,"$21,900.00 ",4.5,10
Dragon Hills,1.99,$0.00 ,$1.99 ,4.5,Games,Action,"$19,900.00 ",4.5,10
Cytus,1.99,$0.00 ,$1.99 ,4.85,Games,Music,"$19,900.00 ",5,11
Can Knockdown 3,1.99,$0.00 ,$1.99 ,4.3,Games,Arcade,"$19,900.00 ",4.5,10
Earn to Die 2,1.99,$0.00 ,$1.99 ,4.55,Games,Racing,"$19,900.00 ",4.5,10
Hitman Sniper,0.99,$0.99 ,$1.98 ,4.55,Games,Action,"$19,800.00 ",4.5,10
12 Minute Athlete HIIT Workouts,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
12 Steps AA Companion - Alcoholics Anonymous,2.99,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
12オーディンズ - 王道RPG,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
1600,0,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
1号店-全球超市 轻松到家,0,NULL,NULL,NULL,Shopping,NULL,"$10,000.00 ",NULL,1
2-bit Cowboy Rides Again,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
20 Minutes.fr - l'actualité en continu,0,NULL,NULL,NULL,News,NULL,"$10,000.00 ",NULL,1
20/20 Diet For Your Life,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
2016 U.S. Open Golf Championship,0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
2016 U.S. Open Golf Championship for iPad,0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
2016 US Open Tennis Championships,0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
2048,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
21 Days Metabolic Diet,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
25 Days of Christmas: Holiday Advent Calendar 2016,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
270toWin,0,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
"2Face Fitpack - Dein Trainingsprogramm mit persönlichem Ernährungsplan, Kalorienrechner und Trainingsplan",0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
2XL Snocross,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
2XL Supercross,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
2XL Supercross HD,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
２ちゃんねる for iPhone,0,NULL,NULL,NULL,News,NULL,"$10,000.00 ",NULL,1
2代目 Nソウル みそぽん,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
30秒マン-これクリアできるやついる？-,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
360 Degree,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
360 Panorama,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
360云盘,0,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
360手机卫士-超安全的来电防骚扰助手,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
360手机浏览器-安全上网看新闻、安心搜索、极速抢票,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
365Scores,0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
3D Anatomy,3.99,NULL,NULL,NULL,Medical,NULL,"$10,000.00 ",NULL,1
3D Car Racing Simulator Real Drag Race Rivals Road Chase Driving Games,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
3D Dubai Parking Simulator Drive Real Extreme Super Sports Car,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
3D GUNS MOD FOR MINECRAFT PC EDITION - GUN MODS POCKET GUIDE,1.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
3D Maze Level 100,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
3D stereogram : Human,0.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
4 Bilder 1 Wort,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
4 Images 1 Mot,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
4 Pics 1 Word,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
400ステージに挑戦！ばあジャンプ,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
4x4 Dirt Track Trials Forest Driving Parking Sim,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
5-0 Radio Pro Police Scanner (Extra Feeds),3.99,NULL,NULL,NULL,News,NULL,"$10,000.00 ",NULL,1
5-in-1 Emoji Widget Games - GameMoji,0.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
50 50 - The Addictive Slicing Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
51信用卡管家,0,NULL,NULL,NULL,Finance,NULL,"$10,000.00 ",NULL,1
51信用卡管家Pro,0.99,NULL,NULL,NULL,Finance,NULL,"$10,000.00 ",NULL,1
58同城-招聘找工作兼职租房软件,0,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
5E Spell Book,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
5K Runner: 0 to 5K Run Trainer. Couch potato to 5K,4.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
5miles: Buy and Sell Used Stuff Locally,0,NULL,NULL,NULL,Shopping,NULL,"$10,000.00 ",NULL,1
60 Seconds! Atomic Adventure,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"6play, TV en direct et en replay",0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
"7-Eleven, Inc.",0,NULL,NULL,NULL,Food & Drink,NULL,"$10,000.00 ",NULL,1
7 Minute Workout Challenge,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
7 Minute Workout Challenge HD for iPad,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
7 Minute Workout Pro,0.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
777游戏厅-2017超人气掌上游戏厅,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
8-Bit RPG Creator,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
8-BIT WATERSLIDE,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
8 Ball Pool™,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
80 Days,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
80s Arcade Nes Games : Best Retro Collection,1.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
"8fit - Workouts, meal plans and personal trainer",0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
8mm Vintage Camera,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
94%,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
9回裏だけ甲子園,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
∞ Infinity Loop,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Beautiful Mess,0.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
A Brief History of the World,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Busy Day for Elmo: Sesame Street Video Calls,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Call From Santa! Voicemail & Text Messages,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
A Charlie Brown Christmas + iMessage Sticker Pack!,5.99,NULL,NULL,NULL,Book,NULL,"$10,000.00 ",NULL,1
A Color Story,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
A Dark Room,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Florist,0.99,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
A Good Snowman Is Hard To Build,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A high end tuner for all instruments!@Tuner,2.99,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
A high resolution music player - NePLAYER,14.99,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
A New Life,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Noble Circle,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Short Tale,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A Tiny Game of Pong,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
a. - Physical Simulation Puzzle Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
A.BIG.T -- A Smart VPN,9.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
A.P.E.X,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
aa,0,$0.00 ,$0.00 ,4.35,Games,Strategy,"$10,000.00 ",4.5,10
Ab & Core Sworkit - Free Workout Trainer,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Ab in den Urlaub – Pauschalreisen günstig buchen,0,NULL,NULL,NULL,Travel,NULL,"$10,000.00 ",NULL,1
Abby Lee Dance Secrets,4.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
"Abby Monkey® Basic Skills: Preschool and Kindergarten Kids Educational Early Learning Adventure Games.▫ TeachMe Counting, Colors, Alphabet, Math, Numbers, Shapes Sorting, Patterns, Puzzles, Learn to Read Letters for Toddler Children",2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
ABC – Watch Live TV & Stream Full Episodes,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
ABC News - US & World News + Live Video,0,NULL,NULL,NULL,News,NULL,"$10,000.00 ",NULL,1
ABC Ninja - The Alphabet Slicing Game for Kids,0.99,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
ABCmouse.com - Early Learning Academy,0,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
AbemaTV-インターネットテレビ局,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Able Black,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
ABRSM Aural Trainer Grades 1-5,7.99,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
Abzorb,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Acapella from PicPlayPost,0,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
AccuWeather - Weather for Life,0,NULL,NULL,NULL,Weather,NULL,"$10,000.00 ",NULL,1
ACDSee Pro,6.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Ace Fishing: Wild Catch,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Action Movie FX,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Activity++,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
AdBlock,1.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Add-Ons Studio for Minecraft,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Addictive Pro,19.99,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
Addon Creator Studio for Minecraft PE,1.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
adidas Confirmed,0,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
AdivínaT - Adivina las palabras,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"Adobe Acrobat Reader: View, Create, & Convert PDFs",0,NULL,NULL,NULL,Business,NULL,"$10,000.00 ",NULL,1
Adobe Illustrator Draw,0,$0.00 ,$0.00 ,4.45,Productivity,Photography,"$10,000.00 ",4.5,10
Adobe Photoshop Lightroom for iPad,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Adobe Photoshop Lightroom for iPhone,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
"Adobe Photoshop Mix - Cut out, combine, create",0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Adobe Spark Page — Create Stunning Web Pages,0,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
"Adobe Spark Video, Animated Videos in minutes",0,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
ADP Mobile Solutions,0,$0.00 ,$0.00 ,4.15,Business,Business,"$10,000.00 ",4,9
Adrian James 6 Pack Abs Workout,2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Advent Calendar 2017 - The Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Advent Magnificat Companion 2016,1.99,NULL,NULL,NULL,Book,NULL,"$10,000.00 ",NULL,1
AdVenture Capitalist,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventure Company,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventure Cube,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventure Time Game Wizard - Draw Your Own Adventure Time Games,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventure To Fate : Quest To The Future JRPG,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventures of Mana,13.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Adventures of Poco Eco - Lost Sounds: Experience Music and Animation Art in an Indie Game,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"AEO|Aerie: Jeans, Dresses, Swimsuits & Bralettes",0,NULL,NULL,NULL,Shopping,NULL,"$10,000.00 ",NULL,1
Aeris Pulse Weather,0.99,NULL,NULL,NULL,Weather,NULL,"$10,000.00 ",NULL,1
aerofly FS - Flight Simulator,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Aerofly FS 2 Flight Simulator,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Aeronaut,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
After School - Funny Anonymous School News,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Aftercut : Background Eraser & Easy Photo Editor,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Afterlight,0.99,$0.00 ,$0.99 ,4.4,Photo & Video,Photography,"$10,000.00 ",4.5,10
Afterpulse,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AG Drive,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Again - room escape game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Agar.io,0,$0.00 ,$0.00 ,4.35,Games,Action,"$10,000.00 ",4.5,10
Agatha Christie - The ABC Murders (FULL),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Age of Heroes: Conquest,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Age of Zombies™,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Agent A: A puzzle in disguise,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Agent Gumball - Roguelike Spy Game,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AgingBooth,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Agricola,6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Agricola All Creatures Big and Small,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AGT: America's Got Talent Official App on NBC,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
AI • Scry: a remote viewing application powered by an alien psyche.,0.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Air Display 3,9.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Air Video HD - Now with multitasking and PiP support!,5.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
AirAttack 2,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Airbnb,0,$0.00 ,$0.00 ,4.2,Travel,Travel & Local,"$10,000.00 ",4,9
AirCoaster - Roller Coaster Builder,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Airmail - Your Mail With You,4.99,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
AirParrot Remote,7.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Airport Scanner,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AirTycoon 4,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AirWatch Agent,0,$0.00 ,$0.00 ,2.8,Business,Business,"$10,000.00 ",3,7
airweave sleep analysis,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Akinator the Genie,1.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Akinator the Genie FREE,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Akuarella,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
AKUMA大戦 -悪魔を合体召喚して魔王を育成する放置ゲーム-,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alarm Clock for Me - Best Wake Up Music & Clock,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Alarm Clock for Me - Sleep Timer & Event Countdown,3.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Alarm Clock HD Free - Digital Alarm Clock Display,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
"Alarm Clock Sleep Sounds Pro: Guided Meditation for Relaxation Cycle, Hypnosis and insomnia",6.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Alarmy Pro (Sleep If U Can) - Alarm Clock,1.99,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
Albert & Otto,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alchemic Maze,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alice in the Mirrors of Albion: Hidden object game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alice in Wonderland Puzzle Golf Adventures,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alice Trapped in Wonderland,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AliExpress Shopping App,0,NULL,NULL,NULL,Shopping,NULL,"$10,000.00 ",NULL,1
Alipay - Makes Life Easy,0,NULL,NULL,NULL,Lifestyle,NULL,"$10,000.00 ",NULL,1
All-in-1 Logic GameBox,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"All-in Fitness: 1200 Exercises, Workouts, Calorie Counter, BMI calculator by Sport.com",2.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
All Devices for WhatsApp - Messenger for iPad,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
All is Lost,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
All Limpy Run!,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
All Star Quarterback 17 - Football Lifestyle Sim,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alliance Wars: World Domination,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Alliance: Air War - Airplane Flight Simulator Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
AlloCiné : Cinéma et Séries,0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Allrecipes Dinner Spinner,0,$0.00 ,$0.00 ,4,Food & Drink,Food & Drink,"$10,000.00 ",4,9
Almanac Long-Range Weather Forecast,0,NULL,NULL,NULL,Weather,NULL,"$10,000.00 ",NULL,1
